Elogasset_next,Eequity_a_next,Enpf_a_next,Erealest_a_next,Eroa_next,Egrow_a_next,Easset_next,Eunemp_next,House_next,Senate_next,Eln_prob_next,Emc_next,Elogasset_next2
13.672442100218644,-0.045484429999882198,0.22796452823724364,0.027192350066586823,-0.083965931335372182,-0.2882571628016527,934610.45016109571,5.0570392032780171,3,1,-0.82991470687766411,239694.41449049226,186.93764915810388
9.8143495586890701,0.075716626674346768,0.0067298669148578415,0.0091495089898442645,0.00018186555268574203,-0.06804138315753025,18635.39754479194,3.8248316952419761,1,1,-7.5471676073568768,121.71215685865506,96.308864887521011
10.358924281223551,0.13723581156993983,0.026255915746197352,0.0081702538585262403,-0.019052928852790547,-0.091082519514499347,31220.446162800603,11.593519273118975,1,1,-16.242476271359344,519.0534474302284,107.32532729362202
10.438710618041245,0.12048442860051313,0.027085675490070946,0.0081019766648068245,-0.020695587257517339,0.017760995279114268,34514.064296247619,11.851292523739817,1,0,-15.211162325028479,718.0643096696009,108.9715893062359
10.576201938436238,0.097792586464886505,0.037175226808707947,0.021579638309519089,-0.026863180942505487,0.20214426447883865,39894.641791428832,14.420206234804725,1,0,-10.662981370807135,2017.7904845848118,111.86292305905235
10.513737948930554,0.078039944290691998,0.04328496579765554,0.054808470974787173,-0.043503156896586612,0.20046954446093448,37967.173855908055,11.545948618018631,1,0,-7.7889299050792324,2864.6047018713671,110.54949237278851
10.664661650706535,0.057236849008607329,0.036324010050328467,0.061811047568666476,-0.04966926575229564,0.27450879421374003,42658.783596526919,12.264287375177863,1,0,-6.113945911513925,3996.8891779751725,113.71230291036856
10.668880622539071,0.05460703249572553,0.019893927579038032,0.081183952445895005,-0.040095368322494378,0.12838627896934024,43414.652945783295,11.882103576371005,1,0,-5.5049324117388414,3781.9910800939488,113.82690504238941
10.701060564778768,0.053502038311494707,0.022049436437862634,0.066251366793426039,-0.031334630450329019,0.18591041759855484,45270.426952536844,12.659845294097616,1,0,-6.054715979408555,3539.3165320581252,114.51965758991342
10.671064284847688,0.047581955996172778,0.021022499976801681,0.063823893358844808,-0.018018184496438886,0.035564958766239191,43084.378448725467,10.216697462831783,1,0,-5.1793820153574739,2402.2181332967734,113.8817955267797
10.625947465395999,0.047365735338653889,0.028337882583594216,0.065830064491499779,-0.012555333233776986,-0.036802409713605176,41515.777714551696,10.923612897444345,1,0,-5.0227842832962404,2692.3741590916516,112.90556748683734
